date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:18:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2022%20Dec%202019%2005:30:04%20GMT	http://esensifiksi.com/robots.txt		(from )
12:18:30	23615/23615	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Feb%202019%2017:26:02%20GMT	http://esensifiksi.com/tf/marmozet/	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/index.html	(from )
12:18:31	35363/35363	---MCZ	200	added ('OK')	text/css	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/vendor/font-awesome-5/css/fontawesome-all.min.css	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/vendor/font-awesome-5/css/fontawesome-all.min.css	(from http://esensifiksi.com/tf/marmozet/)
12:20:33	10941/10941	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Feb%202019%2006:26:52%20GMT	http://esensifiksi.com/tf/marmozet/assets/css/fullsreen-showcase.css	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/css/fullsreen-showcase.css	(from http://esensifiksi.com/tf/marmozet/)
12:20:34	4152/4152	---MCZ	200	added ('OK')	text/css	date:Wed,%2006%20Feb%202019%2011:58:42%20GMT	http://esensifiksi.com/tf/marmozet/assets/css/responsive-fullsreen.css	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/css/responsive-fullsreen.css	(from http://esensifiksi.com/tf/marmozet/)
12:20:35	3646/3646	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Feb%202019%2016:07:58%20GMT	http://esensifiksi.com/tf/marmozet/assets/img/logo.png	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/img/logo.png	(from http://esensifiksi.com/tf/marmozet/)
12:20:35	23633/23633	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Feb%202019%2017:26:02%20GMT	http://esensifiksi.com/tf/marmozet/index.html	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/index-2.html	(from http://esensifiksi.com/tf/marmozet/)
12:20:35	18705/18705	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Feb%202019%2017:26:08%20GMT	http://esensifiksi.com/tf/marmozet/home-single.html	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/home-single.html	(from http://esensifiksi.com/tf/marmozet/)
12:20:36	16581/16581	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Feb%202019%2017:25:18%20GMT	http://esensifiksi.com/tf/marmozet/home-multi-vert.html	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/home-multi-vert.html	(from http://esensifiksi.com/tf/marmozet/)
12:20:36	15833/15833	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Feb%202019%2017:25:36%20GMT	http://esensifiksi.com/tf/marmozet/about.html	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/about.html	(from http://esensifiksi.com/tf/marmozet/)
12:20:36	11530/11530	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Feb%202019%2017:26:32%20GMT	http://esensifiksi.com/tf/marmozet/blog-sidebar.html	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/blog-sidebar.html	(from http://esensifiksi.com/tf/marmozet/)
12:20:37	12457/12457	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Feb%202019%2017:25:56%20GMT	http://esensifiksi.com/tf/marmozet/contact.html	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/contact.html	(from http://esensifiksi.com/tf/marmozet/)
12:20:38	11814/11814	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Feb%202019%2017:25:28%20GMT	http://esensifiksi.com/tf/marmozet/single-project.html	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/single-project.html	(from http://esensifiksi.com/tf/marmozet/)
12:20:39	2997/2997	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2008%20Feb%202019%2013:38:04%20GMT	http://esensifiksi.com/tf/marmozet/assets/js/fullsreen-showcase.js	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/js/fullsreen-showcase.js	(from http://esensifiksi.com/tf/marmozet/)
12:20:40	10196/10196	---MCZ	200	added ('OK')	application/javascript	date:Sun,%2010%20Feb%202019%2012:07:26%20GMT	http://esensifiksi.com/tf/marmozet/assets/js/main.js	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/js/main.js	(from http://esensifiksi.com/tf/marmozet/)
12:20:46	391964/391964	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2005%20Feb%202019%2012:05:34%20GMT	http://esensifiksi.com/tf/marmozet/assets/js/plugin.js	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/js/plugin.js	(from http://esensifiksi.com/tf/marmozet/)
12:22:53	98640/98640	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2003%20Nov%202018%2008:18:00%20GMT	http://esensifiksi.com/tf/marmozet/assets/vendor/font-awesome-5/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/my%20potofolio/esensifiksi.com/tf/marmozet/assets/vendor/font-awesome-5/webfonts/fa-brands-400d41d.eot	(from http://esensifiksi.com/tf/marmozet/assets/vendor/font-awesome-5/css/fontawesome-all.min.css)
